Genre,Global_Sales,Critic_Score,User_Score
Action,1745.26,68.54793707331552,7.257761947165331
Adventure,237.69,69.59478127398312,7.415502686108979
Fighting,447.48,70.14134275618375,7.40718492343934
Misc,803.18,69.69085714285714,7.329257142857143
Platform,828.08,69.3536036036036,7.4042792792792795
Puzzle,243.02,69.61896551724138,7.428275862068965
Racing,728.9,69.19615692554044,7.261969575660529
Role-Playing,934.35,71.81308411214954,7.559279038718291
Shooter,1052.94,70.41572184429327,7.1800453514739235
Simulation,390.13,70.04009163802978,7.356013745704468
Sports,1332.0,71.49233390119251,7.246890971039183
Strategy,174.5,71.48023426061494,7.406734992679356
