Platform,First_Year,Last_Year,Lifespan_Years,Total_Sales,Avg_Critic_Score
PS2,2000,2011,11,1255.64,69.63
X360,2005,2016,11,971.63,69.27
PS3,2006,2016,10,939.43,70.62
Wii,2006,2016,10,908.13,67.38
DS,1985,2013,28,806.81,68.59
PS,1994,2007,13,730.68,71.09
GBA,2000,2007,7,318.5,69.07
PS4,2013,2016,3,314.19,71.7
PSP,2004,2015,11,294.3,69.63
PC,1985,2016,31,260.3,74.62
3DS,2007,2016,9,259.09,69.74
XB,2000,2008,8,258.26,70.0
GB,1988,2007,19,255.45,71.0
NES,1983,1994,11,251.07,71.0
N64,1996,2007,11,218.88,71.0
SNES,1990,1999,9,200.05,71.0
GC,2001,2007,6,199.36,69.78
XOne,2013,2016,3,159.44,72.59
2600,1980,2007,27,97.08,71.0
WiiU,2012,2016,4,82.16,70.84
PSV,2007,2016,9,54.1,70.94
SAT,1994,1999,5,33.59,71.0
GEN,1990,1994,4,28.36,71.0
DC,1998,2008,10,15.97,75.4
SCD,1993,1994,1,1.87,71.0
NG,1993,1996,3,1.44,71.0
WS,1999,2001,2,1.42,71.0
TG16,1995,1995,0,0.16,71.0
3DO,1994,1995,1,0.1,71.0
GG,1992,1992,0,0.04,71.0
PCFX,1996,1996,0,0.03,71.0
