Year_of_Release,Global_Sales,YoY_Growth_Pct
1980,11.38,
1981,35.77,214.32
1982,28.86,-19.32
1983,16.79,-41.82
1984,50.36,199.94
1985,53.94,7.11
1986,37.07,-31.28
1987,21.74,-41.35
1988,47.22,117.2
1989,73.45,55.55
1990,49.39,-32.76
1991,32.23,-34.74
1992,76.17,136.33
1993,45.98,-39.64
1994,79.18,72.21
1995,88.11,11.28
1996,199.15,126.02
1997,200.98,0.92
1998,256.45,27.6
1999,251.25,-2.03
2000,201.58,-19.77
2001,331.47,64.44
2002,395.51,19.32
2003,357.8,-9.53
2004,419.05,17.12
2005,458.31,9.37
2006,518.22,13.07
2007,704.33,35.91
2008,671.79,-4.62
2009,658.88,-1.92
2010,590.59,-10.36
2011,507.79,-14.02
2012,355.84,-29.92
2013,361.24,1.52
2014,331.51,-8.23
2015,268.05,-19.14
2016,130.1,-51.46
